Fecha_creación,Id,Texto,Fuente,Truncado,Respuesta_al_tweet,Respuesta_al_usuario_id,Respuesta_al_usuario_nombre,Localización,Coordenadas,Ciudad,Contribuciones,Idioma,Retweeted,Andalucía,Aragón,Principado de Asturias,Islas Baleares,Canarias,Cantabria,Castilla y León,Castilla  La Mancha,Cataluña,Galicia,C.Valenciana,Extremadura,Comunidad de Madrid,Región de Murcia,Comunidad Foral de Navarra,País Vasco,La Rioja,Ceuta,Melilla,World_cases,USA_cases,Spain_cases,Italy_cases,France_cases,Germany_cases,UK_cases,China_cases,Iran_cases,Turkey_cases,Brasil_cases,Russia_cases,Japan_cases,Moroco_cases,World_dead,USA_dead,Spain_dead,Italy_dead,France_dead,Germany_dead,UK_dead,China_dead,Iran_dead,Turkey_dead,Brasil_dead,Russia_dead,Japan_dead,Moroco_dead
2020-04-13 13:45:28,1249695201620381696,RT @CoronaVid19: Ya no sabéis cómo estropear mis estadísticas.,Twitter for iPhone,FALSE,,,,,,,,es,FALSE,10187,4187,1958,1550,1944,1777,12628,14054,34726,7494,9060,2658,47146,1463,4092,11018,3358,95,101,"1,871,896","560,433","169,496","156,363","132,591","127,854","88,621","82,16","73,303","56,956","22,318","18,328","7,37","1,746","116,004","22,115","17,489","19,899","14,393","3,022","11,329","3,341","4,585","1,198","1,241",148,123,120
2020-04-13 13:45:29,1249695202106892288,RT @MiamiMundo: #MiamiMundo  te recuerda los alimentos ricos en vitamina C que te ayudarán a combatir cualquier virus o gripe https://t.co/…,Twitter for Android,FALSE,,,,,,,,es,FALSE,10187,4187,1958,1550,1944,1777,12628,14054,34726,7494,9060,2658,47146,1463,4092,11018,3358,95,101,"1,871,896","560,433","169,496","156,363","132,591","127,854","88,621","82,16","73,303","56,956","22,318","18,328","7,37","1,746","116,004","22,115","17,489","19,899","14,393","3,022","11,329","3,341","4,585","1,198","1,241",148,123,120
2020-04-13 13:56:39,1249698015255896065,"RT @dw_espanol: Corea del Norte opera con normalidad

Pese a su cercanía con China, el país asegura no presentar casos de #coronavirus. Per…",Twitter for Android,FALSE,,,,,,,,es,FALSE,10187,4187,1958,1550,1944,1777,12628,14054,34726,7494,9060,2658,47146,1463,4092,11018,3358,95,101,"1,871,896","560,433","169,496","156,363","132,591","127,854","88,621","82,16","73,303","56,956","22,318","18,328","7,37","1,746","116,004","22,115","17,489","19,899","14,393","3,022","11,329","3,341","4,585","1,198","1,241",148,123,120
2020-04-13 13:56:39,1249698015297900546,"RT @JoseValdezSV: Pretende que creamos que nos defiende alguien que no sabe ni escribir el nombre de nuestro país?

Evidentemente su crític…",Twitter for Android,FALSE,,,,,,,,es,FALSE,10187,4187,1958,1550,1944,1777,12628,14054,34726,7494,9060,2658,47146,1463,4092,11018,3358,95,101,"1,872,016","560,433","169,496","156,363","132,591","127,854","88,621","82,16","73,303","56,956","22,318","18,328","7,37","1,746","116,016","22,115","17,489","19,899","14,393","3,022","11,329","3,341","4,585","1,198","1,241",148,123,120
2020-04-13 13:56:40,1249698016308715524,RT @Davellanedar: Poco se habla de lo que está pasando en el estado de Nueva York con el coronavirus. Actualmente tienen 190.000 casos y 7.…,Twitter for Android,FALSE,,,,,,,,es,FALSE,10187,4187,1958,1550,1944,1777,12628,14054,34726,7494,9060,2658,47146,1463,4092,11018,3358,95,101,"1,872,016","560,433","169,496","156,363","132,591","127,854","88,621","82,16","73,303","56,956","22,318","18,328","7,37","1,746","116,016","22,115","17,489","19,899","14,393","3,022","11,329","3,341","4,585","1,198","1,241",148,123,120
2020-04-13 13:56:39,1249698016216461313,RT @LiliaMarga: Este es uno de los gobiernos que tienen años diciéndonos que el gobierno de Venezuela es una dictadura.,Twitter for Android,FALSE,,,,,,,,es,FALSE,10187,4187,1958,1550,1944,1777,12628,14054,34726,7494,9060,2658,47146,1463,4092,11018,3358,95,101,"1,872,027","560,433","169,496","156,363","132,591","127,854","88,621","82,16","73,303","56,956","22,318","18,328","7,37","1,746","116,017","22,115","17,489","19,899","14,393","3,022","11,329","3,341","4,585","1,198","1,241",148,123,120
2020-04-13 14:01:26,1249699217137950720,RT @boyacasietedias: Coronavirus: por qué la pandemia de covid-19 nos está afectando el sueño (y cómo puedes prevenirlo) https://t.co/WAnjs…,Twitter for iPhone,FALSE,,,,,,,,es,FALSE,10187,4187,1958,1550,1944,1777,12628,14054,34726,7494,9060,2658,47146,1463,4092,11018,3358,95,101,"1,872,027","560,433","169,496","156,363","132,591","127,854","88,621","82,16","73,303","56,956","22,318","18,328","7,37","1,746","116,017","22,115","17,489","19,899","14,393","3,022","11,329","3,341","4,585","1,198","1,241",148,123,120
2020-04-13 14:01:26,1249699217402183681,RT @lafm: ARL son responsables de insumos de protección a médicos que atienden coronavirus: Gobierno https://t.co/zLA3k4lbXP,Twitter Web App,FALSE,,,,,,,,es,FALSE,10187,4187,1958,1550,1944,1777,12628,14054,34726,7494,9060,2658,47146,1463,4092,11018,3358,95,101,"1,872,041","560,433","169,496","156,363","132,591","127,854","88,621","82,16","73,303","56,956","22,318","18,328","7,37","1,746","116,017","22,115","17,489","19,899","14,393","3,022","11,329","3,341","4,585","1,198","1,241",148,123,120
2020-04-13 14:01:26,1249699217486077955,Read my Apr 13 'Lo + de hoy en CR' Newsletter featuring “Coronavirus: Experto en salud predice que conciertos y…” https://t.co/bnIOCDiKve,Nuzzel,FALSE,,,,,,,,es,FALSE,10187,4187,1958,1550,1944,1777,12628,14054,34726,7494,9060,2658,47146,1463,4092,11018,3358,95,101,"1,872,041","560,433","169,496","156,363","132,591","127,854","88,621","82,16","73,303","56,956","22,318","18,328","7,37","1,746","116,017","22,115","17,489","19,899","14,393","3,022","11,329","3,341","4,585","1,198","1,241",148,123,120
2020-04-13 14:01:26,1249699217410592769,RT @arturocazal: #EEUU supera el medio millón de casos confirmados de #coronavirus y más de 20 mil fallecidos. Y allá yo no veo a nadie pid…,Twitter for Android,FALSE,,,,,,,,es,FALSE,10187,4187,1958,1550,1944,1777,12628,14054,34726,7494,9060,2658,47146,1463,4092,11018,3358,95,101,"1,872,041","560,433","169,496","156,363","132,591","127,854","88,621","82,16","73,303","56,956","22,318","18,328","7,37","1,746","116,017","22,115","17,489","19,899","14,393","3,022","11,329","3,341","4,585","1,198","1,241",148,123,120
